question_text,option_a,option_b,option_c,option_d,correct_index,section_name,year
What legal document allowed Princely States to join either India or Pakistan after independence?,Standstill Agreement,Instrument of Accession,Treaty of Accession,Pact of Unity,1,General Awareness,2024
Who is the highest law officer in a state?,Legal Advisor,Advocate General,Law Secretary,Attorney General,1,General Awareness,2024
Protection of environment and wildlife is mentioned in which Article of the Indian Constitution?,Article 48A,Article 47,Article 48,Article 49,0,General Awareness,2024
Which of the following elements is classified as an actinoid group element?,Thorium,Lanthanum,Ytterbium,Cerium,0,General Awareness,2024
"As of March 14, 2024, which of the following is the world's tallest statue?","Adiyogi Shiva Statue, Coimbatore","Thiruvalluvar Statue, Kanyakumari","Tathagata Tsal, Sikkim","Statue of Unity, Gujarat",3,General Awareness,2024
The indigenous CAR-T therapy has shown maximum efficacy against B-ALL and which other blood cancer?,Multiple Myeloma,Non-Hodgkin Lymphoma,Chronic Myeloid Leukaemia,Hodgkin Lymphoma,1,General Awareness,2024
Which state became the leading beneficiary of the Green Revolution in India?,Odisha,Bihar,Punjab,Assam,2,General Awareness,2024
"Which department has notified rules for the use of radar equipment to measure vehicle speed under the Legal Metrology (General) Rules, 2011?",Ministry of Road Transport and Highways,Ministry of Electronics and Information Technology,Ministry of Home Affairs,Department of Consumer Affairs,3,General Awareness,2024
Which of the following best describes 'intergenerational equity'?,Fair use of resources to ensure availability for future generations,Fair distribution of resources among present-day nations,Equal economic opportunities for all age-based population groups,Fair allocation of resources among various income groups,0,General Awareness,2024
How many small states of present-day Odisha were integrated into the Indian Union at the time of Partition?,15,26,34,42,1,General Awareness,2024
Which acid is used in non-ionic detergent reactions to improve cleaning qualities and thicken detergents?,Oxalic acid,Propanoic acid,Barbituric acid,Stearic acid,3,General Awareness,2024
Which programme aims to ensure access to safe and adequate drinking water through tap connections by 2024?,Jal Jeevan Mission,PM-KUSUM,Jal Kranti Abhiyan,Atal Bhujal Yojana,0,General Awareness,2024
The term 'Sangam' refers to which of the following?,A Tamil dynasty,A type of Tamil poetry,A literary assembly of Tamil scholars,South Indian religious texts,2,General Awareness,2024
A single narrative detailing one of Buddha's former existences is known by which of the following names?,Sutra,Jataka,Tripitaka,Vinaya,1,General Awareness,2024
"The Bhimbetka rock shelters, known for prehistoric cave paintings, are located in which of the following states of India?",Madhya Pradesh,Rajasthan,Uttar Pradesh,Gujarat,0,General Awareness,2024
The US Army contingent that participated in Exercise YUDH ABHYAS held in September 2024 belonged to which of the following divisions?,11th Airborne Division,82nd Airborne Division,101st Airborne Division,1st Infantry Division,0,General Awareness,2024
What was a major focus of the 61st Constitutional Amendment?,Reservation of seats for women in Panchayats,Abolition of Privy Purses for former rulers,Introduction of Anti-Defection Law,Reduction of voting age from 21 to 18 years,3,General Awareness,2024
"Who among the following launched the Ayushman Vay Vandana Card in Delhi in April 2025, along with Delhi Chief Minister Rekha Gupta?",Vinal Kumar Saxena,Hardeep Singh Puri,JP Nadda,Pinarayi Vijayan,1,General Awareness,2024
Who among the following was appointed as a Deputy Governor of the Reserve Bank of India (RBI) in May 2025?,Dr. Rakesh Mohan,Dr. Anshula Kant,Dr. Ujj Patel,Dr. Poonam Gupta,3,General Awareness,2024
Which international organisation supports globalisation and free trade?,UNESCO,WTO,IMF,WHO,1,General Awareness,2024
Which of the following Acts aims to prevent money laundering in India?,SEBI,FCRA,PMLA,FEMA,2,General Awareness,2024
Which of the following is the Chief Minister of a state in India primarily responsible for?,Supreme Court,State Legislative Assembly,President of India,Governor of the State,3,General Awareness,2024
What is the projected annual growth rate of India-UK bilateral trade under the new Free Trade Agreement (FTA)?,10%,20%,15%,12%,2,General Awareness,2024
Which of the following operating systems is NOT typically used on desktop or laptop computers?,Android,macOS,Windows,Linux,0,General Awareness,2024
"Sanjana, Kartik and Deepa invested ₹1,050, ₹1,320 and ₹1,730, respectively to start a business. If the profit at the end of the year is ₹1,230, what is Deepa's share of the profit?",₹519,₹517,₹520,₹516,0,General Awareness,2024
"What sum of money (in ₹) will amount to ₹2,400 at 4% per annum simple interest in 5 years?","₹2,000","₹1,950","₹12,000","₹2,050",0,General Awareness,2024
"A jacket is marked at ₹4,000. During a festive sale, it is given two successive discounts of 32% and 22%. What is the final price after both discounts, and what is the effective percentage discount?","₹2,121.6 : 46.96%","₹2,352.2 : 44.23%","₹1,840 : 54%","₹1,820 : 49%",0,General Awareness,2024
"In covering a distance of 150 km, Pranay takes 2 hours more than Aman. If Pranay doubles his speed, then he would take 3 hours less than Aman. Pranay's speed is:",20 km/hr,6 km/hr,11 km/hr,15 km/hr,3,General Awareness,2024
"If (sinθ + cosθ) / (sinθ - 4cosθ) = 11, then the value of (13sin²θ + 3cos²θ - 3) / cos²θ is:",471/2,215/2,405/2,419/2,2,Mathematics,2024
"The cost of 8 pens and 10 pencils is ₹132. If the cost of a pen decreases by ₹2 and the cost of a pencil increases by ₹7, then the cost of 17 pens and 6 pencils is ₹136. What is the original cost of 12 pens and 9 pencils?",₹138,₹135,₹136,₹143,0,Mathematics,2024
Which of the following numbers divides 545714151?,16,27,310,43,3,Mathematics,2024
"Find the simple interest (in ₹) on ₹4,000 at 6.75% per annum rate of interest deposited on 25 February 2024 and withdrawn on 26 April 2024.",₹45,₹46,₹44,₹43,0,Mathematics,2024
"₹75,400 were divided among A, B and C, such that 3 times the share of A = 9 times the share of B = 4 times the share of C. Find the share of A.","₹36,192","₹36,236","₹36,032","₹36,127",0,Mathematics,2024
"Priya can do a certain piece of work in 26 days. Priya and Varsha can together do the same work in 13 days, and Priya, Varsha and Nisha can do the same work together in 10 days. In how many days can Priya and Nisha do the same work together?",73/5,71/4,56/6,65/4,3,Mathematics,2024
Find the value of 62³ ÷ 62² × 62⁻¹³.,1.62⁻⁴⁰,2.62⁻¹⁸,3.62⁻²³,4.62⁻¹²,3,Mathematics,2023
The LCM of the numbers 15.4 and 0.006 is:,1.0.462,2.46.2,3.462,4.4.62,1,Mathematics,2023
Varun bought some erasers at the rate of ₹150/dozen. He sold them for ₹18 each. His profit percentage is ______%.,1.48,2.42,3.46,4.44,3,Mathematics,2023
"If 3 times Mary's present age is 20 years more than 5 times Divya's present age, and 2 times Divya's present age is 2 years less than Mary's present age, then what is the difference (in years) between the ages of Mary and Divya?",1.11,2.15,3.12,4.16,3,Mathematics,2023
"The average runs scored by a batsman in 23 matches is 41. In the next 10 matches, the batsman scored an average of 16 runs. Find his average runs scored (rounded off to two decimal places) in all the 33 matches.",1.33.42,2.35.42,3.32.42,4.34.42,0,Mathematics,2023
Simplify: 3[(7/3)x² − 27x + 14] − 7(x² + 8x − 11).,1.137x + 119,2.137x − 119,3.-137x + 119,4.-137x − 119,2,Mathematics,2023
"The number of prime numbers lying between 331 and 345, both included, is:",1.3,2.4,3.2,4.5,2,Mathematics,2023
Find the circumference (in m) of the largest circle that can be drawn completely inside a rectangle whose dimensions are given as 14 m and 116 m. (Take π = 22/7).,1. 36,2. 37,3. 44,4. 47,2,Mathematics,2024
"If the third proportional of 16 and 56 be x, then what is the value of x?",1. 198,2. 195,3. 193,4. 196,3,Mathematics,2024
"A number, when increased by 100%, gives 2820. The number is:",1. 705,2. 4230,3. 2820,4. 1410,3,Mathematics,2024
The value of √169 + √0.0144 − √5.76 is _____.,1. 10.72,2. 15.76,3. 9.35,4. 15.09,0,Mathematics,2024
"In an election between two candidates, 85% of the registered voters cast their vote and 4% of the votes polled were found invalid. The winning candidate got 65% of the valid votes and won the election by a margin of 2142 votes. How many voters were registered?",1. 8752,2. 8747,3. 8751,4. 8750,3,Mathematics,2024
Arjun and Malaika have to travel from Delhi to Kanpur in their respective cars. Arjun is driving at 138 km/hr while Malaika is driving at 92 km/hr. Find the time taken by Malaika to reach Kanpur if Arjun takes 8 hours.,1. 13 hours,2. 7 hours,3. 4 hours,4. 12 hours,3,Mathematics,2024
"A sector is formed by a circular arc with a radius of 9 cm, subtending an 18° angle at the centre. What is its perimeter? (Use π = 3.14) (Rounded up to two decimal places.)",1. 20.85 cm,2. 22.46 cm,3. 18.38 cm,4. 24.14 cm,0,Mathematics,2024
"A can lay railway track between two given stations in 22 days and B can do the same job in 11 days. With the help of C, they did the job in 5 days only. Then, C alone can do the job in",16/7 days,12/7 days,15/7 days,21/7 days,2,General Intelligence and Reasoning,2023
"What is the median of the following data? 76, 35, 42, 49, 95, 21, 68, 41, 20, 27, 17",1.42,2.40.5,3.41.5,4.41,3,General Intelligence and Reasoning,2023
"In ΔABC, BD ⊥ AC at D and ∠DBC = 16°. E is a point on BC such that ∠CAE = 51°. What is the measure of ∠AEB?",1.113°,2.125°,3.139°,4.135°,1,General Intelligence and Reasoning,2023
"Find a single discount equivalent to successive discounts of 20%, 25% and 15%.",1.46%,2.49%,3.44%,4.42%,2,General Intelligence and Reasoning,2023
"A trader claims to sell flour at a profit of 47%, but also dishonestly uses a weight which is 5% less than what is mentioned on it. Find the total percentage of profit earned by the trader. (Round off the answer to the nearest whole number)",1.60%,2.55%,3.65%,4.61%,0,General Intelligence and Reasoning,2023
Which of the following numbers divides 774359327?,1.2,2.12,3.7,4.16,2,General Intelligence and Reasoning,2023
"Refer to the following number and symbol series and answer the question that follows. Counting to be done from left to right only. (Left) ? > @ ^ @ ^ ? + $ 6 7 1 1 & @ 1 4 2 2 % 9 (Right) How many such numbers are there, each of which is immediately preceded by a symbol and also immediately followed by another number?",Two,One,Three,None,0,General Intelligence and Reasoning,2024
T is the daughter of A. A is married to M. M is the son of K. K is married to J. J is the father of D. D is the brother of N. G is the son of N. How is K related to T?,Mother's father,Mother's brother,Father's father,Father's mother,3,General Intelligence and Reasoning,2024
"Based on the English alphabetical order, three of the following four letter-clusters are alike in a certain way and thus form a group. Which letter-cluster DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster.)",FBJ,JFM,MIP,HDK,3,General Intelligence and Reasoning,2024
"Seven people, A, B, C, T, U, V and W are sitting in a row, facing north. Only two people sit to the right of C. Only two people sit between C and U. Only two people sit between A and V. V sits to the immediate left of C. T sits to the immediate right of W. Who sits at third position from the left end of the line?",T,B,A,U,1,General Intelligence and Reasoning,2024
"In a certain code language, 'like his attitude' is coded as 'nt yg fr' and 'his first salary' is coded as 'kt lo yg'. How is 'his' coded in the given language?",t fr,yg,nt,kt,1,General Intelligence and Reasoning,2024
"In the following triads, each group of letters is related to the subsequent one following a certain logic. Select from the given options, the one which follows the same logic.",SING - SNIG - GNIS,LIES - IELS - SEIL,MAST - AMST - TASM,COPE - OPCE - OPEC,1,General Intelligence and Reasoning,2024
"Based on the English alphabetical order, three of the following four letter-cluster pairs are alike in a certain way and thus form a group. Which letter-cluster pair DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster.)",US-UV,PN-QO,QO-RP,LJ-MK,1,General Intelligence and Reasoning,2023
"Read the given statement(s) and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusion(s) logically follow(s) from the statements.",Neither conclusion (I) nor (II) follows.,Only conclusion (II) follows.,Both conclusions (I) and (II) follow.,Only conclusion (I) follows.,3,General Intelligence and Reasoning,2023
What should come in place of the question mark (?) in the given series? 779 780 784 793 809 ?,824,837,841,831,1,General Intelligence and Reasoning,2023
"A, B, C, D, E, F and G are sitting around a circular table facing the centre. B sits second to the right of C. E sits third to the left of B. D is the immediate neighbour of B and A. F sits second to the left of G. How many people sit between A and B when counted from the left of A?",Three,One,Two,Four,2,General Intelligence and Reasoning,2023
"Satish starts from Point Y and drives 19 km towards west. He then takes a right turn, drives 17 km, takes another right turn, drives 11 km, takes a third right turn, drives 10 km and stops at Point Z. How far (shortest distance) and in which direction should he drive in order to reach Point Y again? (All turns are 90° turns only unless specified.)",5 km towards north,8 km towards east,7 km towards south,6 km towards west,1,General Intelligence and Reasoning,2023
What should come in place of the question mark (?) in the given series? 6 9 15 24 36 ?,1.75,2.51,3.41,4.52,1,General Intelligence and Reasoning,2024
"Seven boxes, A, B, C, D, M, N and O, are kept one over the other but not necessarily in the same order. No box is kept above B. Only three boxes are kept between B and N. Only one box is kept between D and A. Only C is kept below O. A is kept immediately above N. Only four boxes are kept between D and C. How many boxes are kept below M?",Two,Four,Five,Three,1,General Intelligence and Reasoning,2024
"This question is based on the five, three-digit numbers given below. (Left) 324 523 643 136 441 (Right) (Example: 697 – First digit = 6, second digit = 9 and third digit = 7) (NOTE: All operations to be done from left to right.) If 3 is added to the first digit of every number, in how many numbers will the first digit be exactly divisible by the second digit?",1.3,2.2,3.1,4.4,1,General Intelligence and Reasoning,2024
"In the following number-pairs, the second number is obtained by applying certain mathematical operations to the first number. Select the pair in which the numbers are related in the same way as are the numbers of the following pairs. (Note: Operations should be performed on the whole numbers, without breaking down the numbers into its constituent digits. E.g., 13 – Operations on 13 such as adding/subtracting/multiplying etc. to 13 can be performed. Breaking down 13 into 1 and 3 and then performing mathematical operations on 1 and 3 is not allowed.)","52, 81","72, 101","53, 76","84, 107",1,General Intelligence and Reasoning,2024
All 105 students in a class are standing in a row facing north. Ravi is 49th from the right end while Shruti is 38th from the left end. How many people stand between Ravi and Shruti?,18,16,17,19,0,General Intelligence and Reasoning,2024
"If 5 is added to each odd digit and 1 is subtracted from each even digit in the number 8354671, then how many digits will appear more than once in the new number thus formed?",Three,None,One,Two,0,General Intelligence and Reasoning,2024
"Mr. Ozi starts from Point A and drives 9 km towards the south. He then takes a right turn and drives 3 km, then turns right and drives 18 km. He then takes a right turn and drives 11 km. He takes a final right turn, drives 6 km and stops at Point P. How far (shortest distance) and in which direction should he drive in order to reach Point A again? (All turns are 90-degree turns only unless specified.)",7 km to the east,8 km to the east,8 km to the west,8 km to the south,2,General Intelligence and Reasoning,2024
"In a row of people all facing north, Rikshit is 31st from the right end and Palak is 32nd from the right end. The number of people between Palak and Rikshit is same as the number of people between Palak and Huma. If Huma is 10th from the left end of the row, how many people are there in the row?",43,41,44,42,3,General Intelligence and Reasoning,2024
"In a certain code language, 'GALE' is coded as '7513' and 'FLEA' is coded as '5197'. What is the code for 'F' in that language?",1,9,7,5,1,General Intelligence and Reasoning,2024
Select the triad that follows the same pattern as that followed by the two triads given below. Both triads follow the same pattern.,IQ-MT-PR,IQ-NT-PR,IQ-MT-PS,IQ-MT-PR,2,General Intelligence and Reasoning,2024
Which of the following letter-number clusters will replace the question mark (?) in the given series to make it logically complete?,USJ -28,JUD -20,SJD -21,UHT -21,0,General Intelligence and Reasoning,2024
"If 2 is added to each odd digit and 3 is subtracted from each even digit in the number 7843651, how many digits will appear more than once in the new number thus formed?",Two,None,Three,One,0,General Intelligence and Reasoning,2024
"If 'A' stands for '÷', 'B' stands for '×', 'C' stands for '+' and 'D' stands for '−', what will come in place of the question mark (?) in the following equation? 46 A 2 C 21 D 8 B 3 = ?",1.26,2.33,3.41,4.20,3,General Intelligence and Reasoning,2024
"If 1 is added for each even digit and 1 is subtracted from each odd digit of the number 56218643, how many digits are repeated more than once in the new number thus formed?",Two,None,Three,One,3,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series? 456 457 455 456 454 455 453 ?,455,454,456,453,1,General Intelligence and Reasoning,2024
"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusion(s) logically follow(s) from the statements. Statements: All teas are bins. No tea is a sock. Conclusions: (I) Some socks are bins. (II) All bins are socks.",Only conclusion (I) follows.,Only conclusion (II) follows.,Neither conclusion (I) nor (II) follows.,Both conclusions (I) and (II) follow.,2,General Intelligence and Reasoning,2024
"Who is the director of the Indian film 'Tanvi: The Great', which had its world premiere at the Cannes Film Market during the 78th Cannes Film Festival in 2025?",Anupam Kher,Naseeruddin Shah,Shabana Azmi,Kiran Rao,0,General Awareness,2024
In which list of the Seventh Schedule does the Central Government have exclusive power to legislate?,Union List,Residual List,State List,Concurrent List,0,General Awareness,2024
Which of the following factors best explains the formation of ox-bow lakes along river courses?,Lateral erosion on the outer banks and deposition on the inner banks,Glacial retreat leaving depressions,Tectonic uplift disrupting the flow,Sudden uplift of riverbeds by tectonic activity,0,General Awareness,2024
"During the rule of which of the following Mughal rulers did Sunnis and Shias meet in one mosque and Christians and Jews in one church to pray, thus following the principle of 'universal peace' (sulh-i kul)?",Babar,Akbar,Jahangir,Humayun,1,General Awareness,2024
Which method best characterizes the approach of the Moderates?,Cultural renaissance,Guerilla warfare,Armed revolution,Petition and prayer,3,General Awareness,2024
Where was the BrahMos Aerospace Integration and Testing Facility inaugurated on 11 May 2023?,"Hyderabad, Telangana","Pune, Maharashtra","Bengaluru, Karnataka","Lucknow, Uttar Pradesh",3,General Awareness,2023
"Which of the following is considered the first full-length Indian feature film, released in 1913?",Keechaka Vadham,Raja Harishchandra,Alam Ara,Sant Tukaram,1,General Awareness,2023
The Contact Process is used for the manufacturing of which of the following chemicals?,Sulphuric acid,Ammonia,Nitric acid,Hydrochloric acid,0,General Awareness,2023
Which of the following was a major drawback of the Indian economy at the time of independence?,Self-sufficiency in food grains,High unemployment and poverty,Strong infrastructure,High industrial output,1,General Awareness,2023
Where was the 2025 Regional Forum on Sustainable Development (RFSD) for the UNECE region held on April 2-3?,Oslo,Brussels,Geneva,Vienna,2,General Awareness,2023
Which of the following is responsible for managing shortcut links and desktop visual layout?,Command Prompt,File Explorer,Windows Shell,Task Scheduler,2,General Awareness,2023
"Which term refers to the pre-monsoon showers that occur with a sudden rise in temperature, especially in southern India?",Break in monsoon,Loo,Mango showers,Nor'wester,2,General Awareness,2023
Pamban Port is located in which state of India?,Karnataka,Kerala,Maharashtra,Tamil Nadu,3,General Awareness,2023
"Who translated the book 'Heart Lamp' into English, making it the first Kannada work to win the 2023 International Booker Prize?",Arshia Sattar,Annie Zaidi,Deepa Bhasthi,Meena Kandasamy,2,General Awareness,2023
Who was the first Chief Election Commissioner of India?,Sukumar Sen,HK Kripalani,V Narahari Rao,MC Setalvad,0,General Awareness,2023
Which Schedule of the Constitution deals with the administration of Scheduled Areas and Tribes?,Fifth Schedule,Ninth Schedule,Eleventh Schedule,Sixth Schedule,0,General Awareness,2023
Which of the following movements is also known as the 'Ulgulan' or the 'Great Tumult' movement?,Kol rebellion,Munda uprising,Chuar uprising,Santhal rebellion,1,General Awareness,2023
Which Indian state had the highest Human Development Index (HDI) value according to the NITI Aayog's SDG India Index 2023?,Gujarat,Kerala,Tamil Nadu,Maharashtra,1,General Awareness,2023
Which of the following quantities remains unchanged when a charged particle moves in a magnetic field?,Direction of velocity,Kinetic energy,Momentum direction,Angular momentum,1,General Awareness,2023
What does the shortcut key Ctrl + S do in most software applications?,Saves the current document,Starts a new page,Selects all content,Searches for text in a document,0,General Awareness,2023
Which Indian startup unveiled a system to run AI without advanced chips in April 2025?,Ziron Labs,Closeloop Technology,BharatPe,Eka Software,0,General Awareness,2025
India has unveiled a comprehensive plan worth ₹9.15 lakh crore (US$ 109.50 billion) to enhance its power infrastructure and meet a projected demand of 458 GW by,2030,2036,2034,2032,3,General Awareness,2025
Which new electricity trading tool did India propose in 2025 to help companies meet renewable energy targets?,Time-of-Day Net Metering,Green Energy Tariffs,Virtual Power Purchase Agreements (VPPAs),Renewable Energy Certificates (RECs),2,General Awareness,2025
Which neighbouring country did India accuse of supporting cross-border infiltration attempts in Jammu and Kashmir in early 2025?,Sri Lanka,Pakistan,Nepal,Bangladesh,1,General Awareness,2025
In which of the following Indian states does the Jagar dance form has its primary roots?,Jammu and Kashmir,Uttarakhand,Bihar,Himachal Pradesh,1,General Awareness,2025
Which policy initiative aims to digitise all Primary Agricultural Credit Societies (PACS)?,e-Kisan Portal,National Digital Agri Mission,PACS Digitization Project,Co-op Net,2,General Awareness,2025
What evidence supports the layered structure of the Earth's interior?,Fossil records,Seismic wave behaviour,Volcanic eruptions,Magnetic poles,1,General Awareness,2025
Which of the following countries will restrict the Mt. Everest Permit to only those who have already climbed 7000 m?,USA,Nepal,Mongolia,Japan,1,General Awareness,2025
Which of the following multinational air combat exercises did the Indian Air Force (IAF) participate in at Al Dhafra Air Base in the UAE from 21 April to 8 May 2025?,Blue Flag-5,Red Flag,Iron Fist,Desert Flag-10,3,General Awareness,2025
In which of the following cities' suburban trains was Kavach 5.0 launched in April 2025 to enable more trains to run safely and efficiently?,Chennai,Lucknow,Mumbai,New Delhi,2,General Awareness,2025
"Which DRDO-developed system, inducted into the Indian Army in 2024, played a crucial role in air defence during Operation Sindoor in 2025?",QRSAM,AkashTeer,Akash,Barak-8,0,General Awareness,2025
"In March 2025, the Defence Ministry signed contracts with which two companies for the procurement of 155 mm/52 calibre Advanced Towed Artillery Gun System (ATAGS)?",Bharat Dynamics Ltd and Hindustan Aeronautics Ltd,Larsen & Toubro Ltd and MTAR Technologies Ltd,Bharat Forge Ltd and Tata Advanced Systems Ltd,Mahindra Defence Systems Ltd and Kalyani Strategic Systems Ltd,2,General Awareness,2025
Which of the following diseases is caused by protozoa?,Typhoid,Chicken Pox,Malaria,Polio,2,General Awareness,2025
Which of the following is the first biosphere reserve established in India?,Sundarbans,Nilgiri,Gulf of Mannar,Nanda Devi,1,General Awareness,2025
The Third Battle of Panipat in 1761 was fought between Ahmad Shah Abdali and which Indian power?,Rajputs,British,Mughals,Marathas,3,General Awareness,2025
Which Indian author won the 2025 International Booker Prize for the short story collection 'Heart Lamp'?,Deepa Bhasthi,Pratibha Satpathy,Banu Mushtaq,Jeet Thayil,2,General Awareness,2025
"The Aguada Fort, which is a monument to Portuguese construction and engineering, is situated in which of the following states of India?",Gujarat,Tamil Nadu,Maharashtra,Goa,3,General Awareness,2023
"Under the Government of India Act, 1919, which subjects were transferred to Indian ministers?",Judiciary and Foreign Affairs,Education and Health,Police and Revenue,Defence and Railways,1,General Awareness,2023
What is used to measure a decent standard of living in HDI?,Population density,Availability of luxury goods,GDP per capita in PPP US Dollars,Monthly salary,2,General Awareness,2023
"The National Multidimensional Poverty Index, published by NITI Aayog, measures poverty beyond income by considering multiple deprivations. Which of the following dimensions is NOT included in India's National Multidimensional Poverty Index (MPI)?",Standard of living,Employment,Health,Education,1,General Awareness,2023
"By selling 6 rubber-bands for a rupee, a man loses 40%. To gain 20% how many must he sell for a rupee?",1.4,2.2,3.5,4.3,3,General Awareness,2023
Ishaan and Meghna have to travel from Delhi to Kanpur in their respective cars. Ishaan is driving at 77 km/hr while Meghna is driving at 33 km/hr. Find the time taken by Meghna to reach Kanpur if Ishaan takes 12 hours.,1.33 hours,2.28 hours,3.34 hours,4.29 hours,1,General Awareness,2023
"If sinθ = 1/2, then 13 × cosec²θ − 3 × cot²θ − 15 is equal to:",28,68,56,26,0,General Awareness,2023
An exterior angle and an interior angle of a regular polygon are in the ratio of 1 : 8. What is the number of sides of the polygon?,16,18,12,24,1,Mathematics,2023
"The H.C.F and the L.C.M of two numbers are 2 and 492, respectively. If one of the numbers is 82, find the other one.",31,93,12,102,1,Mathematics,2023
"A number, when increased by 100%, gives 2780. The number is:",2780,2695,4170,1390,3,Mathematics,2023
The average of first 151 even numbers is,152.5,153,151.5,152,3,Mathematics,2023
The volume of a right circular cylinder is 8624 cm³. If the radius and height of the cylinder. (Use π = 22/7),14 cm,13 cm,12 cm,15 cm,0,Mathematics,2023
"Find the simple interest (in ₹) on ₹1,200 at an interest rate of 3% per month for 12 months.",₹56,₹36,₹72,₹432,3,Mathematics,2023
"The average weight (in kg) of a family of five members whose weights are 40 kg, 49 kg, 56 kg, 73 kg and 38 kg is:",50.2,51.2,52.2,53.2,1,Mathematics,2023
"Find the volume (in cm³) of a sphere having a diameter of 22 cm, giving your answer correct to two places of decimal. Take π = 22/7.",1. 5587.52,2. 5597.52,3. 5577.52,4. 5567.52,2,Mathematics,2024
"If 5 times the mother’s age is 26 years more than 5 times her daughter’s age, and 2 times the daughter’s age is 2 years less than the mother’s age, then what is the difference (in years) between the ages of the mother and the daughter?",1. 25,2. 23,3. 22,4. 20,2,Mathematics,2024
Which of the following numbers is divisible by 24?,1. 7132978,2. 6830904,3. 7991987,4. 7340390,1,Mathematics,2024
Find the mean proportional of 25 and 16.,1. 18,2. 17,3. 20,4. 22,2,Mathematics,2024
The LCM of the numbers 2.7 and 0.096 is:,1. 216,2. 2.16,3. 21.6,4. 0.216,2,Mathematics,2024
"X, Y and Z invested a sum in the ratio of 86 : 69 : 34, respectively. If they earned a total profit of ₹4,590 at the end of the year, what is the difference between the shares of Y and Z?",1. ₹994,2. ₹864,"3. ₹1,085",4. ₹572,3,Mathematics,2024
"Pipe A can fill a tank in 16 hours, pipe B can fill the same tank in 25 hours and pipe C can fill the same tank in 12 hours. The time taken by them to fill the same tank if they operate together is:",85/223 hours,85/223 hours,95/223 hours,5 85/223 hours,3,Mathematics,2024
"A product is sold for ₹3,400 after a 15% discount. What was the original marked price?","₹4,000","₹4,100","₹3,900","₹3,800",0,Mathematics,2024
"Find the simple interest (in ₹) on ₹4,000 at 7.5% per annum rate of interest deposited on 7 February 2024 and withdrawn on 8 April 2024.",1.48,2.50,3.49,4.51,1,Mathematics,2024
"By selling an article at 2/5 of its actual selling price, Manav incurs a loss. If he sells it at 88% of its actual selling price, then the profit percentage is:",69.4%,67.2%,67.3%,67.9%,1,Mathematics,2024
Find the value of: 83^-6 ÷ 83^16 × 83^-8,1.83^-20,2.83^-20,3.83^-40,4.83^-30,3,Mathematics,2024
