question_text,option_a,option_b,option_c,option_d,correct_index,section_name,year
Which among the following two organisations signed an Memorandum of Understanding to establish an incubation centre promoting innovation in solar energy and green hydrogen in May 2025?,Defence Research and Development Organisation and National Thermal Power Corporation,National Solar Energy Federation of India and National Institute of Solar Energy,National Institution for Transforming India Aayog and Indian Space Research Organisation,Ministry of New and Renewable Energy and Bharat Heavy Electricals Limited,1,General Awareness,2023
"This revolutionary freedom fighter co-founded the Hindustan Socialist Republican Association in 1928. Along with B K Dutt, he threw a bomb in the Central Legislative Assembly in 1929. He was tried and executed at the age of 23, along with revolutionaries Sukhdev Thapar and Shivaram Rajguru. The freedom fighter is:",Udham Singh,Bhagat Singh,Chandrasekhar Azad,Ramprasad Bismil,1,General Awareness,2023
Kartik Aaryan won the Best Performance in a Leading Role (Male) award at the 25th IIFA Awards held in March 2025 at Jaipur for his performance in which of the following films?,Shehzada,Chandu Champion,Bhool Bhulaiyaa 3,SatyaPrem Ki Katha,2,General Awareness,2023
The brothers Sidhu and Kanhu were the leaders of which of the following tribal uprisings?,Kol Mutiny,Ho uprising,Koya revolts,Santhal Rebellion,3,General Awareness,2023
"In May 2023, DRDO inaugurated a new research centre focusing on which advanced technology?",Robotics,Nanotechnology,Quantum Technology,Artificial Intelligence,2,General Awareness,2023
Bhagirathi and Chandra streams join at which place in Himachal Pradesh forming the river Chenab?,Rehtang Pass,Verinag Spring,Tandi,Kullu,2,General Awareness,2023
Who among the following Delhi sultans accidentally died during a game of polo in the year 1210?,Jalaluddin Khilji,Firuz Shah Tughluq,Qutbuddin Aibak,Ibrahim Lodi,2,General Awareness,2023
"During the colonial period, the services sector accounted for only _____.",15-20%,25-32%,22-29%,5-10%,0,General Awareness,2023
Which of the following processes is absent in C4 plants?,Transpiration,Photorespiration,Photosynthesis,Respiration,1,General Awareness,2023
How many significant figures are there in 2.308 cm?,2,3,4,5,2,General Awareness,2023
"The Juvenile Justice (Care and Protection of Children) Act, 2015, allows juveniles aged 16-18 to be tried as adults in cases of:",drug abuse,heinous crimes,theft,cybercrime,1,General Awareness,2023
Clean cooking fuel is essential for rural women's health and environmental sustainability. Which scheme provides LPG connections to women in BPL households?,Pradhan Mantri Ujjwala Yojana,Saansad Adarsh Gram Yojana,Pradhan Mantri Awaas Yojana - Gramin,Pradhan Mantri Gram Sadak Yojana,0,General Awareness,2023
Which of the following human activities contributes the most to the increase in atmospheric carbon dioxide levels?,Afforestation,Use of fertilisers in agriculture,Burning of fossil fuels,Construction of dams,2,General Awareness,2023
The Inter-State Council is constituted under which Article?,Article 260,Article 346,Article 263,Article 368,2,General Awareness,2023
"According to constitutional provisions, what is the maximum permissible size of a State Council of Ministers, including the Chief Minister?",10% of the total strength of the Legislative Assembly,20% of the total strength of the Legislative Assembly,No specific limit is defined,15% of the total strength of the Legislative Assembly,3,General Awareness,2023
"Which Fundamental Right guarantees Freedom of Speech, Assembly and Movement?",Right to Equality,Right to Freedom,Right to Constitutional Remedies,Right to Cultural Rights,1,General Awareness,2023
Which of the following is the correct method to create a new folder using the File menu in Windows 7?,Start → File → Folder → New,Control Panel → File → Create → New Folder,Open Computer → Right-click drive → Files → New → Folder,"Open Computer → Open desired drive (e.g., D:) → Click on File → New → Folder",3,General Awareness,2023
"Which Indian Army officer has written the book titled 'Ready, Relevant and Resurgent: A Blueprint for the Transformation of India’s Military', which was unveiled by the Defence Minister Rajnath Singh in May 2025?",Lieutenant General NS Raja Subramani,Lieutenant General Rajiv Ghai,CDS General Anil Chauhan,General Upendra Dwivedi,2,General Awareness,2023
"In which year was the first metro line in India, between Esplanade and Bhowanipur in Kolkata, inaugurated—marking the beginning of metro rail services in the country?",1977,1984,1994,1990,1,General Awareness,2023
Which of the following organisations developed the nanoporous multilayered polymeric membrane for high-pressure seawater desalination in May 2025?,Council of Scientific and Industrial Research (CSIR),Indian Space Research Organisation (ISRO),Department of Science and Technology (DST),Defence Research and Development Organisation (DRDO),3,General Awareness,2023
"Which DRDO-developed system, tested in 2025, is designed to detect and neutralise multiple types of underwater threats?",MIGM,Maareech,Takshak,Varunastra,1,General Awareness,2023
Which Indian airport secured a position among the top 10 hub airports in the Asia-Pacific and Middle East region in the 2024 ACI Hub Connectivity Rankings?,Chennai International Airport,Kempegowda International Airport,Chhatrapati Shivaji Maharaj International Airport,Indira Gandhi International Airport (IGIA),3,General Awareness,2023
"Which of the following is/are an ancient set of inscriptions, promoting moral values and governance principles and is considered one of the earliest written records in Indian history?",Vedas,Upanishads,Edicts of Ashoka,Arthashastra,2,General Awareness,2023
In which of the following years was the first thermal power plant of the Calcutta Electric Supply Corporation Limited commissioned?,1925,1899,1909,1918,1,General Awareness,2023
"A shopkeeper offers a scheme discount of 20% and an additional 5% discount if payment is made in cash. What is the total discount percentage on ₹1,000?",1.26%,2.25%,3.24%,4.23%,2,Mathematics,2023
An amount of ₹638 is divided among three persons in the ratio of 2 : 5 : 4. The difference between the largest and the smallest shares (in ₹) in the distribution is:,110,174,157,76,1,Mathematics,2023
Simplify: 3\left(\left(\frac{7}{3}\right)x^2 - 26x + 13\right) - 7(x^2 + 9x - 11),1. -141x - 116,2. -141x + 116,3. 141x - 116,4. 141x + 116,1,Mathematics,2024
Anaya has to reach Hyderabad which is 574 km away in 18 hours. His starting speed for 11 hours was 30 km/hr. For the next 796 km his speed was 34 km/hr. By what speed he should travel for the rest 90 km to reach Hyderabad in the decided time of 18 hours?,1. 9 km/hr,2. 20 km/hr,3. 8 km/hr,4. 14 km/hr,3,Mathematics,2024
"A cylindrical rod has an outer curved surface area of 1100 cm². If the length of the rod is 23 cm, then the outer radius (in cm) of the rod, correct to two places of decimal, is:",1. 8.17,2. 5.53,3. 6.03,4. 4.72,2,Mathematics,2024
"Find the simple interest (in ₹) on ₹1,200 at an interest rate of 4% per month for 2 months.",1. ₹8,2. ₹28,3. ₹16,4. ₹96,3,Mathematics,2024
The value of 6² + √3² - 7√81 - 16 is,1. -40,2. -32,3. -50,4. -37,0,Mathematics,2024
"Ritik and Sanjay together invested ₹77,600 in a business. At the end of the year, out of a total profit of ₹19,000, Sanjay's share was ₹7,600. What was the difference between their investments?","1. ₹15,528","2. ₹15,520","3. ₹16,401","4. ₹14,343",0,Mathematics,2024
The simple interest on a certain sum for 7/3 years at the rate of 4.5%,"₹37,783","₹37,791","₹37,784","₹37,794",1,Mathematics,2024
"The cost of 19 pens and 13 pencils is ₹254. If the cost of a pen decreases by ₹6 and the cost of a pencil increases by ₹9, then the cost of 14 pens and 2 pencils is ₹106. What is the original cost of 12 pens and 15 pencils?",₹171,₹174,₹173,₹175,1,Mathematics,2024
"The average runs scored by a batsman in 23 matches is 40. In the next 10 matches, the batsman scored an average of 14 runs. Find his average runs scored (rounded off to two decimal places) in all 33 matches.",31.12,33.12,34.12,32.12,3,Mathematics,2024
"If the measure of each interior angle of a regular polygon is 140°, then the number of its diagonals will be:",27,16,20,25,0,Mathematics,2024
"2 men can complete a piece of work in 18 days, while 4 women can do it in 6 days. In how many days can 6 women and 9 men complete this work?",3 days,4 days,1 day,2 days,3,Mathematics,2024
"In an election between two candidates, 96% of the registered voters cast their vote and 15% of the votes polled were found invalid. The winning candidate got 80% of the valid votes and won the election by a margin of 1224 votes. How many voters were registered?",2502,2501,2503,2500,3,Mathematics,2024
"The average of three numbers is 20. If two of them are 18 and 28, the third number is:",13,16,15,14,3,Mathematics,2024
Find the mean proportional between 18 and 32.,21,26,24,23,2,Mathematics,2024
"If x = a cosecA sinB, y = b cosecA cosB, and z = c cot A, then, what is the value of (x^2/a^2 + y^2/b^2 - z^2/c^2)?",0,-1,-2,1,3,Mathematics,2024
"The HCF and the LCM of two numbers are 24 and 288, respectively. If one of the numbers is 72, find the other one.",10,20,170,96,3,Mathematics,2024
"Pipe A can fill a tank in 16 hours, pipe B can fill the same tank in 26 hours and pipe C can fill the same tank in 16 hours. The time taken by them to fill the same tank if they operate together is:",2/17 hours,6/17 hours,9/17 hours,3/17 hours,1,Mathematics,2024
Simplify 13 × (3 × 4³) ÷ 9 ± 59 – 75,157/9,160/9,157/3,160/3,3,Mathematics,2024
Which of the following numbers is divisible by 24?,"1.79, 91.987","2.68, 30.908","3.73, 40.380","4.71, 32.968",3,Mathematics,2024
"If 2 times Mary's present age is 20 years more than 6 times Diya's present age, and 5 times Diya's present age is 8 years less than Mary's present age, then what is the difference (in years) between the ages of Mary and Diya?",1.10,2.14,3.18,4.15,1,Mathematics,2024
"If the marked price of a book is ₹900, then find the selling price of the book after getting discount of 13%.",₹689,₹789,₹891,₹783,3,Mathematics,2024
A number when increased by 100% gives 2730. The number is:,1365,2730,3682.5,4095,0,Mathematics,2024
"If the length, breadth and height of a room are 10.5 m, 8.5 m and 11 m, respectively, then what is the area (in m²) of the four walls of the room?",418,416,412,414,0,Mathematics,2024
A trader claims to sell vegetables at a profit of 52% but also dishonestly uses a weight which is 8% less than what is mentioned on it. Find the total percentage of profit earned by the trader. (Round off the answer to the nearest whole number.),61%,63%,65%,69%,2,Mathematics,2024
Which of the following letter-number clusters will replace the question mark (?) in the given series to make it logically complete? KFU-15 IIQ-22 ? EOI-42 CRE-55,KJG-32,GLM-31,KLJ-30,HGL-31,1,General Intelligence and Reasoning,2024
"Based on the English alphabetical order, three of the following four letter-cluster pairs are alike in a certain way and thus form a group. Which letter-cluster pair DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster.)",VX-AC,KM-FR,OQ-TV,GI-LM,3,General Intelligence and Reasoning,2024
Ritesh and Gauri have to travel from Delhi to Kanpur in their respective cars. Ritesh is driving at 150 km/hr while Gauri is driving at 60 km/hr. Find the time taken by Gauri to reach Kanpur if Ritesh takes 8 hours.,14 hours,17 hours,30 hours,20 hours,3,Mathematics,2024
"The LCM of 2^2 × 7^2 × 12, 2^2 × 12^2 × 18 and 7^3 × 12^2 × 18^2 is:",2^3 × 3^6 × 7^4,2^2 × 3^5 × 7^3,2^2 × 3^6 × 7^3,2^3 × 3^6 × 7^3,2,Mathematics,2024
"If the 6-digit number N73M10 is divisible by 11, then which of the options below can give a possible correct relation between M and N?",M = N,M - N = 1,M - N = -3,M + N = 3,2,Mathematics,2024
"Pallavi bought a toy for ₹322, decorated it at a cost of ₹6 and sold the toy for ₹398. Find the loss or profit percentage.",875% profit,885% loss,875% loss,875/41 profit,3,Mathematics,2024
"Seven boxes A, B, C, D, K, L and O, are kept one over the other, but not necessarily in the same order. Only D is kept above C. Only L is kept between C and B. Only A is kept below K. How many boxes are kept between O and A?",Three,One,Four,Two,1,General Intelligence and Reasoning,2024
Select the pair that follows the same pattern as that followed by the two pairs given below. Both pairs follow the same pattern. FEI-HGK YXB-AZD,WVZ-YXB,SQT-UTX,SQT-TSW,SRV-TTW,0,General Intelligence and Reasoning,2024
"If 1 is subtracted from each odd digit of the number 86071452 and then the digits are arranged in ascending order, find the sum of the digits, which are repeated more than once in the new number formed.",13,11,8,10,3,General Intelligence and Reasoning,2024
"What will come in the place of the question mark (?) in the following equation, if '+' and '-' are interchanged and 'x' and '/' are interchanged? 32 + 4 x 2 - 6 + 9 = ?",84,83,82,81,0,General Intelligence and Reasoning,2024
"In a certain code language, 'music is therapy' is written as 'ak bj jo' and 'stop the music' is coded as 'tu mt jo'. How is 'music' coded in the given language?",ak,tu,mt,jo,3,General Intelligence and Reasoning,2024
"In a row of 163 students facing north, Mr. Maxi is 89th from the left end. If Mr. Han is 2nd to the right of Mr. Maxi, what is Mr. Han's position from the right end of the line?",75th,72nd,74th,73rd,3,General Intelligence and Reasoning,2024
"Seven boxes A, B, C, D, E, F and G are kept one over the other but not necessarily in the same order. Only four boxes are kept between A and D. Only F is kept above A. Only two boxes are kept between B and C. E is kept immediately above G. C is not kept immediately above E. How many boxes are kept above E?",One,Two,Three,Four,2,General Intelligence and Reasoning,2024
"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusion(s) logically follow(s) from the statements.

Statements:
Some trees are plants.
Some plants are graphs.

Conclusions:
(I): Some trees are graphs.
(II): All graphs are plants.",Both conclusions (I) and (II) follow.,Neither conclusion (I) nor (II) follows.,Only conclusion (I) follows.,Only conclusion (II) follows.,2,General Intelligence and Reasoning,2024
"If 1 is added to each odd digit and 2 is subtracted from each even digit in the number 3851764, what will be the sum of the digits that are second from the left and second from the right?",10,8,6,12,0,General Intelligence and Reasoning,2024
"Refer to the following number and symbol series and answer the question that follows. Counting to be done from left to right only.

(Left) # 3 % 7 $ 5 * & 4 @ 9 Q 4 9 μ 8 @ 1 π 3 (Right)

How many such symbols are there that are immediately preceded by a number and also immediately followed by another number?",One,Five,Six,Three,2,General Intelligence and Reasoning,2024
"Seven people, I, J, K, L, U, V and W are sitting in a row, facing north. Only three people sit to the left of V. Only I sits to the right of U. Only three people sit between U and W. J sits at some place to the left of K but at some place to the right of L. How many people sit between L and K?",One,Two,Four,Three,3,General Intelligence and Reasoning,2024
"If 1 is subtracted from each even digit of the number 36719542, then what will be the product of digits that are repeated more than once in the new number formed?",5,6,15,3,2,General Intelligence and Reasoning,2024
"Seven people, B, C, D, E, F, G and L, are sitting around a circular table facing the centre of the table. Only three people sit between B and F when counted from the left of B. Only three people sit between D and E when counted from the right of E. G sits to the immediate right of D. C is an immediate neighbour of E as well as F. Who sits to the second to the left of L?",1. C,2. B,3. F,4. E,0,General Intelligence and Reasoning,2023
"This question is based on the five, three-digit numbers given below. (Left) 256 987 325 489 723 (Right) (Example: 697 - First digit = 6, second digit = 9 and third digit = 7) (NOTE: All operations to be done from left to right.) What will be the resultant if the second digit of the highest number is added to the third digit of the lowest number?",1. 12,2. 14,3. 16,4. 10,1,General Intelligence and Reasoning,2023
"MKOJ is related to SOUP in a certain way based on the English alphabetical order. In the same way, KIMH is related to OOSN. To which of the following is HFJE related, following the same logic?",1. LNPK,2. LNKP,3. NLKP,4. NLPK,3,General Intelligence and Reasoning,2023
"Alexander starts from Point A and drives 12 km towards the south. He then takes a left turn and drives 4 km, then turns left and drives 17 km. He then takes a left turn and drives 9 km. He takes a final left turn, drives 5 km and stops at Point P. How far (shortest distance) and in which direction should he drive in order to reach Point A again? (All turns are 90-degree turns only unless specified.)",1. 3 km to the east,2. 2 km to the east,3. 5 km to the east,4. 4 km to the east,2,General Intelligence and Reasoning,2023
"Based on the English alphabetical order, three of the following four letter-cluster pairs are alike in a certain way and thus form a group. Which letter-cluster pair DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster.)",1. IK-NG,2. FH-KD,3. CE-HA,4. MQ-RL,3,General Intelligence and Reasoning,2023
"Geeta starts from Point P and drives 6 km towards south. Then, she takes a right turn, drives 8 km, turns right again and drives 10 km. She then takes a right turn and drives 12 km. Then, she takes a left turn and drives 2 km, she takes a left turn again and drives 4 km and stops at Point Q. How far (shortest distance) and towards which direction should she drive in order to reach Point P again? (All turns are 90-degree turns only, distance rounded.)",1. 4 km towards north,2. 6 km towards south,3. 4 km towards south,4. 8 km towards south,1,General Intelligence and Reasoning,2024
"Based on the English alphabetical order, three of the following four letter-cluster pairs are alike in a certain way and thus form a group. Which letter-cluster pair DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster.)",1. EH-LC,2. OR-VM,3. LO-SJ,4. JM-OG,3,General Intelligence and Reasoning,2024
"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusions logically follow(s) from the statements. Statements: All beds are pillows. Some beds are curtains. Conclusions: (I) Some pillows are curtains. (II) Some curtains are beds.",1. Both conclusions I and II follow.,2. Neither conclusion I nor II follows.,3. Only conclusion I follows.,4. Only conclusion II follows.,0,General Intelligence and Reasoning,2024
"In the following triads, each group of letters is related to the subsequent one following a certain logic. Select from the given options, the one which follows the same logic. DIMS - SIDM - IMDS COLT - TOCL - OLCT",1. FOUR - FUOR - RUOF,2. FROG - GRFO - ROFG,3. TIME - ITME - EIMT,4. GUYS - SUYG - YUGS,1,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series based on the English alphabetical order? DKS ELT FMU GNV ?,1. HOW,2. ROW,3. ROX,4. HOX,0,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series? 4 12 28 52 84 ?,124,130,120,125,0,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series? 14 16 20 28 44 ?,76,96,63,83,0,General Intelligence and Reasoning,2024
"Select the set in which the numbers are related in the same way as are the numbers of the following sets. (NOTE: Operations should be performed on the whole numbers, without breaking down the numbers into their constituent digits. E.g. 13 - Operation on 13 such as adding 10, subtracting 10, multiplying with 13 etc. is permitted. Breaking down 13 into 1 and 3 and then performing mathematical operations on 1 and 3 is not allowed.) (46, 41, 26) (77, 72, 57)","62, 57, 42","61, 71, 61","59, 54, 34","93, 88, 83",0,General Intelligence and Reasoning,2024
"What should come in place of the question mark (?) in the given series? 33, 34, 36, 40, 48, ?",56,45,65,64,3,General Intelligence and Reasoning,2024
"In a certain code language, 'always on time' is written as 'aj tj tr' and 'time is precious' is coded as 'to tr mo'. How is 'time' coded in the given language?",mo,tr,to,aj,1,General Intelligence and Reasoning,2024
A is the brother of H. H is the father of R. R is the daughter of M. G is the father of M. How is A related to M?,Daughter's husband's father,Daughter's husband's brother,Husband's father,Husband's brother,3,General Intelligence and Reasoning,2024
The world's first Pandemic Agreement was adopted during which session of the World Health Assembly held in May 2023?,73rd World Health Assembly,76th World Health Assembly,77th World Health Assembly,79th World Health Assembly,0,General Awareness,2024
In which of the following years was the monetary policy framework moved towards flexible inflation targeting and a six member Monetary Policy Committee (MPC) constituted for setting the policy rate?,1998,2013,1992,2016,3,General Awareness,2024
"According to the report titled 'India Revives ₹44,000 Crore Plan to Boost Defence Manufacturing', published in 2023, what is the primary purpose of this plan?",Enhancing cyber defence capabilities,Acquiring advanced radar systems,Developing fifth-generation fighter jets,Safeguarding ports and trade routes,3,General Awareness,2024
Which among the following South Indian kingdoms is known for the conquest that crossed the river Ganga in the north?,Chalukya,Chola,Pandyas,Pallava,1,General Awareness,2024
The Santhal Revolt of 1855-56 was against which groups along with the British officials?,Zamindars and moneylenders,Afghan invaders,French traders,Marathas and Nawabs,0,General Awareness,2024
"In May 2025, IBM and TCS partnered with Andhra Pradesh to build the 'Quantum Valley Tech Park' in _______.",Amaravati,Kakinada,Srikakulam,East Godavari,0,General Awareness,2023
"In 2025, which state achieved a major infrastructure milestone with the support of Indo-foreign collaboration?",Uttar Pradesh,Madhya Pradesh,Gujarat,Rajasthan,1,General Awareness,2023
What types of climate and vegetation characterise the Taiga natural region?,Arid deserts with cactus,Flood-prone swamp areas,Cold climate with coniferous forests,Dense tropical vegetation,2,General Awareness,2023
Which of the following options best defines 'Sustainable Development'?,Industrialisation without any restrictions,Maximising profits from natural resources,Using only renewable resources,Development that meets present needs without compromising future generations,3,General Awareness,2023
Which of the following sectors employed the largest share of India's population before independence?,Trade,Services,Industry,Agriculture,3,General Awareness,2023
Which state has special constitutional provisions to protect its tribal customs and laws under Article 371A?,Nagaland,Tripura,Mizoram,Assam,0,General Awareness,2023
How did the Industrial Revolution alter the British economic interests in India?,From trade to industry and raw material use,From plantations to nomadic life,From taxes to feudal rule,From control to cultural ties,0,General Awareness,2023
China deployed a sophisticated Large Phased Array Radar (LPAR) system near the _______ raising concerns over increased surveillance capabilities.,India-Myanmar border,India-Nepal border,India-Bhutan border,India-Bangladesh border,0,General Awareness,2023
"In May 2023, Union Home Minister Amit Shah laid the foundation stone for the permanent campus of the National Forensic Sciences University (NFSU) in Nagpur. At which location did this ceremony take place?","Mouza Chicholi, Kamptee tehsil, Nagpur district","Subhash Nagar, Nagpur","Swasti Nivas, Nagpur","Vishwas Cell, Nagpur University",0,General Awareness,2023
Yakshagana is a folk theatre form from which of the following States of India?,Gujarat,Karnataka,Tamil Nadu,Punjab,1,General Awareness,2023
The 2023 Sheikh Zayed Book Award recognised which author as the Cultural Personality of the Year?,Sophie Elmhirst,Nairthi Konduru,Michael Crummey,Haruki Murakami,3,General Awareness,2023
"Which law is most frequently applied when calculating the electric field, particularly when high symmetry is present?",Coulomb's law,Gauss's Law,Faraday's Law,Lenz's Law,1,General Awareness,2023
You want to create a file called 'Notes.txt'. Which tool would you use?,Windows Media Player,Paint,Calculator,Notepad,3,General Awareness,2023
"Which of the following authors penned the novel 'Midnight's Children,' famous for its fusion of historical narratives with elements of magical realism?",Salman Rushdie,Arundhati Roy,Vikram Seth,Rohinton Mistry,0,General Awareness,2023
Which type of rural settlement is most common in the northeastern states and Northern Plains of India?,Dispersed,Clustered,Hamleted,Semi-clustered,1,General Awareness,2023
"Which chemical process results in the formation of plaque on copper, the rusting of iron and the blackening of silver?",Encapsulation,Corrosion,Extrusion,Flocculation,1,General Awareness,2023
Where was the 2025 Global Artificial Intelligence Summit & Awards (GAISA) held?,Bengaluru International Exhibition Centre,"Bharat Mandapam, New Delhi","Taj Palace, New Delhi","Pragati Maidan, New Delhi",1,General Awareness,2023
Which of the following athletes set a new record in triple jump with a 15.66 m leap at the 2025 Khelo India Youth Games in May 2025?,Animash Kujur,Sheikh Zeeshan,Qadir Khan,Tushar Chaudhary,1,General Awareness,2023
"In angiosperms, which of the following organs represents the male reproductive part of a flower?",Androecium,Petals,Gynoecium,Sepals,0,General Awareness,2023
"One of the largest terminals in the world, Terminal-3 of the Indira Gandhi International Airport (IGIA), was inaugurated in which year with a capacity to handle up to 40 million passengers annually?",2005,2010,2020,2015,1,General Awareness,2023
What is the correct order of the three-tier Panchayati Raj structure from bottom to top in India?,Gram Sabha – Gram Panchayat – Zila Parishad,Gram Panchayat – Panchayat Samiti – Zila Parishad,Zila Parishad – Panchayat Samiti – Gram Panchayat,Panchayat Samiti – Gram Panchayat – Zila Parishad,2,General Awareness,2023
Which of the following correctly describes the impact of 1991 reforms on agricultural exports?,Agricultural exports were completely banned,Export promotion was encouraged through de-regulation,Only wheat and rice were allowed for export,Export restrictions were imposed to ensure food security,1,General Awareness,2023
Which of the following groups is provided support under the One-Stop Centre (OSC) scheme?,Only women from a specific caste or religion,All women and girls below 18 years of age affected by violence,Only married women in urban areas,Only women working in government offices,1,General Awareness,2023
"Which of the following refers to the newer and younger deposits of the floodplains in the Northern Plains of India, which are renewed almost every year and are therefore very fertile?",Bhangar,Terai,Khadar,Kankar,2,General Awareness,2023
"Which ISRO mission, in collaboration with JAXA, aims to explore the Moon's polar regions?",Chandrayaan-5,Lunar Polar Exploration Mission,Shukrayaan,Chandrayaan-4,1,General Awareness,2023
The government tracks the performance of eight core industries to monitor industrial activity. What is the approximate weight of the core industries in the Index of Industrial Production (IIP)?,45%,30%,20%,40%,3,General Awareness,2023
Which of the following are main subsystems of the Central Processing Unit (CPU)?,"Arithmetic Unit, Memory Unit and Output Unit","Control Unit, Arithmetic Unit and Logic Unit","Arithmetic Unit, Graphics Unit and Control Bus","Logic Unit, Input Unit and Storage Unit",1,General Awareness,2023
"Exercise Desert Hunt 2023, an integrated tri-service special forces exercise was conducted by the Indian Air Force at which of the following stations?",Airforce station at Prayagraj,Airforce station at Gandhi Nagar,Airforce station at Jodhpur,Airforce station at Agra,2,General Awareness,2023
"In 2022, which of the following states made headlines for having discovered the oldest Iron Age site in the Indian subcontinent?",Tamil Nadu,Uttar Pradesh,Gujarat,Meghalaya,0,General Awareness,2023
Which Amendment of the Citizenship Act introduced the provision that an illegal migrant cannot acquire citizenship by naturalisation or registration?,2003 Amendment,1986 Amendment,2015 Amendment,2005 Amendment,0,General Awareness,2023
Who was awarded the Major Dhyan Chand Khel Ratna Award in 2025 for his leadership in Indian hockey?,Harmanpreet Singh,Manpreet Singh,PR Sreejesh,Rupinder Pal Singh,0,General Awareness,2023
Which Act first recognised the political and administrative functions of the East India Company in India?,Pitt's India Act 1784,Regulating Act 1773,Government of India Act 1858,Charter Act 1813,1,General Awareness,2023
Which of the following players was awarded with National Sports award 2024 in the field of Para-Badminton in January 2025?,PV Sindhu,Nithya Sre Sumathy Sivan,Saina Nehwal,S Muralidharan,1,General Awareness,2023
The provisions for salaries and emoluments of constitutional authorities are mentioned in which Schedule?,Second Schedule,Seventh Schedule,Ninth Schedule,Third Schedule,0,General Awareness,2023
The Indus River system includes all of the following rivers EXCEPT:,Jhelum,Sutlej,Ravi,Godavari,3,Mathematics,2023
Dixa has to reach Surat which is 511 km away in 14 hours. His starting speed for 5 hours was 81 km/hr. For the next 84 km his speed was 84 km/hr. By what speed he must travel now so as to reach Surat in the decided time of 14 hours?,38 km/hr,39 km/hr,34 km/hr,35 km/hr,2,Mathematics,2023
"A number, when increased by 50%, gives 3600. The number is:",1250,24500,31125,46750,0,Mathematics,2023
Find the perimeter of a semicircle with a radius of 7 cm. (Use π = 2/7),1.25 cm,2.22 cm,3.36 cm,4.28 cm,2,Mathematics,2023
"4 times the present age of P exceeds the present age of Q by 19 years. After 5 years, 3 times the age of Q will be 27 years less than 9 the age of P. The present age of Q is (in years):",1.61,2.58,3.63,4.66,0,Mathematics,2023
The value of √121 + √0.0196 - √8.41 is _____.,1.603,2.1554,3.824,4.855,2,Mathematics,2023
Find the mean proportional between 22 and 88.,1.41,2.47,3.46,4.44,3,Mathematics,2023
